strike (K),True RND
0.6,0.000261621
0.62,0.000693994
0.64,0.001738014
0.66,0.004100628
0.68,0.009148956
0.7,0.019337993
0.72,0.038791162
0.74,0.073968027
0.76,0.134244288
0.78,0.232152555
0.8,0.382879824
0.82,0.602645671
0.84,0.905711669
0.86,1.300114521
0.88,1.782760684
0.9,2.335082336
0.92,2.920851922
0.94,3.487702336
0.96,3.973211364
0.98,4.315133947
1,4.463830329
1.02,4.39371253
1.04,4.11022648
1.06,3.649847112
1.08,3.072623489
1.1,2.449261776
1.12,1.846577768
1.14,1.315568925
1.16,0.885151303
1.18,0.562348471
1.2,0.337460927
1.22,0.191452731
1.24,0.102839697
1.26,0.052408332
1.28,0.025401962
1.3,0.011743943
1.32,0.005195286
1.34,0.002206435
1.36,0.000902651
1.38,0.000356897
1.4,0.000136826
