strike (K),Tau (yr) ,Observed Prc ,underlying (S),int rate®,dividend (q),True Call price 
0.6,0.083333333,0.39705377,1,0,0,0.400000088
0.62,0.083333333,0.384506212,1,0,0,0.380000254
0.64,0.083333333,0.355077896,1,0,0,0.360000731
0.66,0.083333333,0.3505243,1,0,0,0.340001935
0.68,0.083333333,0.325218373,1,0,0,0.320004874
0.7,0.083333333,0.292126848,1,0,0,0.300011637
0.72,0.083333333,0.279239473,1,0,0,0.280026441
0.74,0.083333333,0.2618824,1,0,0,0.260057283
0.76,0.083333333,0.240312641,1,0,0,0.240118539
0.78,0.083333333,0.221481261,1,0,0,0.220234746
0.8,0.083333333,0.198319174,1,0,0,0.200445571
0.82,0.083333333,0.182353818,1,0,0,0.180811852
0.84,0.083333333,0.163237857,1,0,0,0.16142198
0.86,0.083333333,0.143684528,1,0,0,0.142397454
0.88,0.083333333,0.123392314,1,0,0,0.123895942
0.9,0.083333333,0.108606084,1,0,0,0.106109888
0.92,0.083333333,0.090519095,1,0,0,0.089259009
0.94,0.083333333,0.071652649,1,0,0,0.073575857
0.96,0.083333333,0.056151421,1,0,0,0.059285076
0.98,0.083333333,0.049226466,1,0,0,0.046578771
1,0.083333333,0.041126768,1,0,0,0.035592039
1.02,0.083333333,0.028425002,1,0,0,0.026383491
1.04,0.083333333,0.019265132,1,0,0,0.018925263
1.06,0.083333333,0.017456404,1,0,0,0.013105188
1.08,0.083333333,-0.002841112,1,0,0,0.00874114
1.1,0.083333333,0.000708381,1,0,0,0.00560461
1.12,0.083333333,-0.002849982,1,0,0,0.003448501
1.14,0.083333333,-0.00814347,1,0,0,0.002033451
1.16,0.083333333,0.001853692,1,0,0,0.001148019
1.18,0.083333333,-0.006683519,1,0,0,0.000620263
1.2,0.083333333,-0.001657549,1,0,0,0.000320726
1.22,0.083333333,0.000854776,1,0,0,0.000158806
1.24,0.083333333,-0.003621505,1,0,0,7.54E-05
1.26,0.083333333,0.00271781,1,0,0,3.43E-05
1.28,0.083333333,-0.001419074,1,0,0,1.51E-05
1.3,0.083333333,0.001476367,1,0,0,6.36E-06
1.32,0.083333333,0.002243486,1,0,0,2.60E-06
1.34,0.083333333,0.00249654,1,0,0,1.03E-06
1.36,0.083333333,0.004739644,1,0,0,3.94E-07
1.38,0.083333333,-0.002469065,1,0,0,1.47E-07
1.4,0.083333333,0.00834488,1,0,0,5.38E-08
