Strike ,Vol,Underlying ,Tau to maturity ,Interest Rate,Price 
1095,0,1206.0699,17,0.000547945,111.25
1100,90,1206.0699,17,0.000547945,106.55
1105,0,1206.0699,17,0.000547945,101.55
1110,10,1206.0699,17,0.000547945,96.75
1115,1,1206.0699,17,0.000547945,92
1120,14,1206.0699,17,0.000547945,87.3
1125,52,1206.0699,17,0.000547945,82.6
1130,10,1206.0699,17,0.000547945,78.15
1135,1,1206.0699,17,0.000547945,73.55
1140,1,1206.0699,17,0.000547945,68.75
1145,1501,1206.0699,17,0.000547945,64.25
1150,3225,1206.0699,17,0.000547945,59.95
1155,0,1206.0699,17,0.000547945,55.35
1160,14,1206.0699,17,0.000547945,51.05
1165,30,1206.0699,17,0.000547945,46.85
1170,57,1206.0699,17,0.000547945,42.75
1175,222,1206.0699,17,0.000547945,38.35
1180,1192,1206.0699,17,0.000547945,34.95
1185,217,1206.0699,17,0.000547945,31.25
1190,255,1206.0699,17,0.000547945,26.8
1195,1271,1206.0699,17,0.000547945,24.35
1200,25881,1206.0699,17,0.000547945,20.85
1205,12916,1206.0699,17,0.000547945,18.25
1210,850,1206.0699,17,0.000547945,15.5
1215,187,1206.0699,17,0.000547945,12.95
1220,3794,1206.0699,17,0.000547945,10.7
1225,8878,1206.0699,17,0.000547945,8.3
1230,4057,1206.0699,17,0.000547945,7.25
1235,382,1206.0699,17,0.000547945,5.35
1240,3451,1206.0699,17,0.000547945,4.4
1245,1430,1206.0699,17,0.000547945,3.25
1250,32787,1206.0699,17,0.000547945,2.475
1255,938,1206.0699,17,0.000547945,1.925
1260,6579,1206.0699,17,0.000547945,1.275
1265,471,1206.0699,17,0.000547945,1.225
1270,3556,1206.0699,17,0.000547945,0.7
1275,739,1206.0699,17,0.000547945,0.55
1280,535,1206.0699,17,0.000547945,0.475
1285,349,1206.0699,17,0.000547945,0.375
1290,408,1206.0699,17,0.000547945,0.275
1295,18,1206.0699,17,0.000547945,0.3
1300,9817,1206.0699,17,0.000547945,0.2
1305,0,1206.0699,17,0.000547945,0.3
1310,216,1206.0699,17,0.000547945,0.125
1315,6102,1206.0699,17,0.000547945,0.125
1320,124,1206.0699,17,0.000547945,0.2
1325,1190,1206.0699,17,0.000547945,0.2
1330,0,1206.0699,17,0.000547945,0.075
1335,0,1206.0699,17,0.000547945,0.075
1340,100,1206.0699,17,0.000547945,0.05
1345,165,1206.0699,17,0.000547945,0.05
1350,198,1206.0699,17,0.000547945,0.05
1375,16,1206.0699,17,0.000547945,0.05
1400,100,1206.0699,17,0.000547945,0.025
1425,0,1206.0699,17,0.000547945,0.025
1450,0,1206.0699,17,0.000547945,0.025
1475,0,1206.0699,17,0.000547945,0.025
1500,0,1206.0699,17,0.000547945,0.025
1550,0,1206.0699,17,0.000547945,0.025
1600,0,1206.0699,17,0.000547945,0.025
